2017,01,01,337
2017,01,02,914
2017,01,03,1271
2017,01,04,525
2017,01,05,1480
2017,01,06,418
2017,01,07,1273
2017,01,08,426
2017,01,09,740
2017,01,10,1128
2017,01,11,1420
2017,01,12,964
2017,01,13,998
2017,01,14,1332
2017,01,15,1010
2017,01,16,1182
2017,01,17,506
2017,01,18,488
2017,01,19,1232
2017,01,20,685
2017,01,21,798
2017,01,22,859
2017,01,23,1200
2017,01,24,389
2017,01,25,1447
2017,01,26,917
2017,01,27,1230
2017,01,28,917
2017,01,29,703
2017,01,30,864
2017,01,31,357
2017,02,01,1083
2017,02,02,724
2017,02,03,609
2017,02,04,748
2017,02,05,1440
2017,02,06,1009
2017,02,07,1067
2017,02,08,313
2017,02,09,1313
2017,02,10,680
2017,02,11,1198
2017,02,12,1158
2017,02,13,1382
2017,02,14,745
2017,02,15,927
2017,02,16,1414
2017,02,17,474
2017,02,18,1496
2017,02,19,1136
2017,02,20,1359
2017,02,21,306
2017,02,22,1204
2017,02,23,506
2017,02,24,307
2017,02,25,1148
2017,02,26,1314
2017,02,27,1417
2017,02,28,1298
2017,03,01,453
2017,03,02,1227
2017,03,03,1402
2017,03,04,974
2017,03,05,806
2017,03,06,1489
2017,03,07,352
2017,03,08,752
2017,03,09,656
2017,03,10,744
2017,03,11,1173
2017,03,12,1030
2017,03,13,611
2017,03,14,629
2017,03,15,1271
2017,03,16,413
2017,03,17,1121
2017,03,18,348
2017,03,19,1297
2017,03,20,454
2017,03,21,1076
2017,03,22,762
2017,03,23,1227
2017,03,24,873
2017,03,25,1233
2017,03,26,614
2017,03,27,1188
2017,03,28,1332
2017,03,29,627
2017,03,30,1367
